InvoiceID,SellerID,BuyerID,TaxID,DeviceID,Payment_methodID,CancelReasonID,ErrorTypeID,InvoiceTotal_amount,subtotal_amount,tax_amount,discount_amount,invoice_Date,invoice_ModifiedDate
40,356,1178,4,4,5,3.0,5.0,29320.439999999999,26887.41,4033.11,1600.08,01-01-24,04-21-25
41,462,620,1,46,4,1.0,4.0,27039.18,23512.33,3526.85,0.0,01-26-24,01-26-24
42,215,1584,1,5,4,5.0,3.0,40474.22,35194.97,5279.25,0.0,08-22-23,07-12-24
43,45,486,2,42,3,4.0,4.0,31178.8,27112.0,4066.8,0.0,01-17-24,05-30-25
44,317,758,2,16,4,3.0,5.0,24049.32,20912.45,3136.87,0.0,11-11-23,11-11-23
45,55,1191,2,34,2,4.0,,52693.25,45820.22,6873.03,0.0,08-13-23,12-14-24
46,163,1638,4,28,3,1.0,2.0,13932.4,12115.13,1817.27,0.0,12-21-23,11-24-24
47,387,39,1,38,4,4.0,2.0,19054.59,16569.21,2485.38,0.0,07-09-24,09-09-24
48,23,1639,1,10,5,3.0,3.0,16478.44,14329.08,2149.36,0.0,10-17-24,03-16-25
49,369,971,5,26,5,1.0,2.0,21439.17,18642.76,2796.41,0.0,12-29-24,03-27-25
50,455,102,5,7,4,,1.0,37472.239999999998,32584.56,4887.68,0.0,08-26-23,03-13-24
51,150,255,1,2,1,2.0,3.0,54222.150000000001,47149.7,7072.45,0.0,05-27-24,06-18-24
52,22,1266,4,17,1,5.0,1.0,6629.92,5765.15,864.77,0.0,07-14-24,09-05-24
53,285,39,1,46,3,3.0,3.0,45845.08,39865.29,5979.79,0.0,03-26-25,04-12-25
54,54,1577,1,13,1,4.0,1.0,46562.370000000003,40489.02,6073.35,0.0,02-21-25,02-22-25
55,140,631,4,41,2,2.0,4.0,30262.17,26314.93,3947.24,0.0,05-16-24,10-02-24
56,22,251,2,47,1,4.0,1.0,39553.11,34394.01,5159.1,0.0,01-25-25,05-13-25
57,147,45,3,15,5,3.0,3.0,32714.73,31401.34,4710.2,3396.81,01-18-24,02-01-24
58,418,710,5,17,5,2.0,3.0,26729.03,25067.76,3760.16,2098.89,11-16-24,11-16-24
59,74,1199,5,39,2,2.0,5.0,22631.93,19679.94,2951.99,0.0,03-01-25,04-17-25
60,371,16,4,9,3,2.0,4.0,3851.4299999999998,3349.07,502.36,0.0,10-21-24,04-10-25
61,36,1129,4,43,2,4.0,3.0,28084.25,24421.09,3663.16,0.0,10-06-23,07-01-24
62,422,1795,5,36,5,4.0,5.0,27938.5,24294.35,3644.15,0.0,10-09-23,11-14-24
63,75,453,5,27,2,5.0,1.0,19608.49,17050.86,2557.63,0.0,11-24-24,05-28-25
64,311,1093,1,7,5,2.0,2.0,47608.11,45818.55,6872.78,5083.22,06-07-24,06-07-24
65,178,732,5,46,2,1.0,5.0,23716.0,20622.61,3093.39,0.0,11-24-24,02-25-25
66,459,804,5,16,1,5.0,3.0,35349.1,30738.35,4610.75,0.0,10-04-23,02-28-24
67,108,658,1,30,3,3.0,4.0,56300.84,48957.25,7343.59,0.0,01-07-25,02-03-25
68,309,1483,3,25,4,2.0,1.0,5151.640000000000,4479.69,671.95,0.0,01-04-25,04-01-25
69,360,1963,5,49,2,1.0,4.0,36971.82,32149.41,4822.41,0.0,07-09-23,04-27-25
70,229,894,4,43,3,5.0,1.0,49825.97,43326.93,6499.04,0.0,04-17-24,05-09-24
71,436,1001,2,26,1,5.0,1.0,19024.55,16543.09,2481.46,0.0,02-21-25,05-17-25
72,137,1315,1,47,4,5.0,5.0,17213.26,14968.05,2245.21,0.0,05-26-24,03-24-25
73,219,147,2,48,3,1.0,1.0,38817.1,33754.0,5063.1,0.0,11-05-24,11-05-24
74,41,86,5,49,1,3.0,5.0,17288.8,15033.74,2255.06,0.0,02-18-25,03-29-25
75,356,1238,2,42,5,3.0,2.0,50467.36000000000,46779.17,7016.88,3328.69,09-09-23,06-03-25
76,426,1711,3,45,1,2.0,1.0,52545.1,45691.39,6853.71,0.0,12-15-24,04-24-25
77,405,1109,5,36,1,2.0,2.0,42249.62,36738.8,5510.82,0.0,10-18-23,08-02-24
78,203,1609,3,39,1,2.0,3.0,25276.959999999999,25511.16,3826.67,4060.87,12-14-23,02-20-24
79,171,891,3,33,4,4.0,1.0,13176.09,11457.47,1718.62,0.0,12-01-23,03-24-25
80,379,911,2,29,1,5.0,2.0,25726.619999999999,22370.97,3355.65,0.0,10-09-23,12-25-23
81,139,1486,2,39,4,5.0,3.0,27730.96,27451.64,4117.75,3838.43,01-19-25,01-24-25
82,373,1304,2,2,2,3.0,3.0,53920.67,46887.54,7033.13,0.0,02-01-24,02-01-24
83,370,1767,2,10,3,2.0,1.0,33823.06,29411.36,4411.7,0.0,11-06-23,11-06-23
84,303,565,4,1,5,3.0,1.0,42726.54,37153.51,5573.03,0.0,06-25-24,09-16-24
85,407,1403,2,10,5,2.0,3.0,42074.730000000003,38113.52,5717.03,1755.82,10-26-24,10-26-24
86,157,1454,3,14,3,3.0,5.0,22324.97,19413.02,2911.95,0.0,12-23-23,12-27-24
87,353,347,4,48,4,4.0,2.0,7506.72,6527.58,979.14,0.0,07-20-23,07-20-23
88,66,20,2,22,1,1.0,1.0,22882.630000000001,19897.94,2984.69,0.0,05-11-25,06-14-25
89,367,1121,4,20,2,5.0,4.0,39192.150000000001,34080.13,5112.02,0.0,12-05-23,07-29-24
90,405,34,5,46,5,5.0,4.0,13200.7,11689.21,1753.38,241.89,10-04-23,03-12-24
91,82,135,1,15,4,3.0,5.0,21849.47,18999.54,2849.93,0.0,01-29-24,12-22-24
92,284,1876,5,17,1,5.0,5.0,18706.419999999998,17036.02,2555.4,885.0,06-16-25,06-18-25
93,343,560,4,37,3,3.0,4.0,845.07,769.89,115.48,40.3,03-28-25,04-05-25
94,80,1232,1,17,2,4.0,5.0,27073.41,23542.1,3531.31,0.0,02-20-24,11-14-24
95,262,1362,5,32,5,4.0,2.0,53227.87,47219.1,7082.86,1074.09,03-17-25,04-09-25
96,38,1360,2,29,3,3.0,5.0,24074.619999999999,20934.45,3140.17,0.0,03-04-24,09-10-24
97,126,316,2,46,2,2.0,3.0,49248.8,46981.03,7047.15,4779.38,01-21-24,01-26-24
98,362,332,5,8,5,3.0,4.0,41889.18,36425.37,5463.81,0.0,07-24-23,03-31-24
99,245,371,4,29,2,1.0,2.0,46853.54000000000,41822.26,6273.34,1242.06,07-02-23,07-27-23
100,248,465,3,10,5,3.0,1.0,18018.87,16944.16,2541.62,1466.91,07-21-23,08-03-23
101,489,1869,2,15,1,2.0,5.0,50688.7,47229.67,7084.45,3625.42,04-16-25,06-04-25
102,428,1860,2,25,4,3.0,2.0,3573.21,3107.14,466.07,0.0,02-18-25,03-18-25
103,34,1773,5,50,5,2.0,2.0,26770.67,27856.41,4178.46,5264.2,05-10-25,05-15-25
104,301,268,1,44,1,3.0,5.0,21952.3,19088.96,2863.34,0.0,03-11-25,06-15-25
105,50,44,5,29,4,1.0,4.0,17317.189999999999,15058.43,2258.76,0.0,05-24-25,06-15-25
106,7,1700,3,3,1,3.0,2.0,20272.74,20850.98,3127.65,3705.89,01-24-24,07-02-24
107,447,1046,4,17,3,1.0,3.0,51855.809999999998,45092.01,6763.8,0.0,06-18-24,11-10-24
108,319,1061,3,35,1,1.0,1.0,51200.54,44522.21,6678.33,0.0,07-23-23,04-03-25
109,173,1998,4,31,4,5.0,5.0,274.4,245.12,36.77,7.49,12-07-23,09-30-24
110,273,1516,2,26,3,4.0,3.0,11255.17,10614.91,1592.24,951.98,07-06-24,08-04-24
111,268,463,4,25,5,4.0,3.0,7690.2,6687.13,1003.07,0.0,08-01-24,01-25-25
112,327,818,4,38,3,2.0,2.0,25593.85,22255.52,3338.33,0.0,05-10-24,10-03-24
113,126,242,4,50,5,3.0,3.0,10715.9,9318.17,1397.73,0.0,11-01-24,11-13-24
114,82,856,1,35,1,3.0,4.0,28211.650000000001,27452.87,4117.93,3359.15,03-29-24,10-16-24
115,348,30,3,44,3,5.0,4.0,50908.77,46000.81,6900.12,1992.16,04-30-24,03-09-25
116,221,172,3,23,4,5.0,2.0,22056.39,20640.93,3096.14,1680.68,07-24-23,02-08-25
117,6,1359,2,6,1,3.0,3.0,4700.26,4087.18,613.08,0.0,04-26-24,08-22-24
118,354,1107,1,20,4,2.0,5.0,8113.110000000000,8473.65,1271.05,1631.59,02-05-24,03-14-24
119,256,1763,4,13,1,3.0,3.0,48498.47,42172.58,6325.89,0.0,06-25-23,11-30-23
120,121,1869,4,39,5,3.0,5.0,41443.57,36037.89,5405.68,0.0,12-10-23,05-05-25
121,58,1352,2,36,2,,1.0,10493.72,9124.97,1368.75,0.0,09-27-23,05-19-24
122,442,1015,5,15,4,4.0,5.0,35480.87,30852.93,4627.94,0.0,01-10-24,05-13-24
123,317,614,1,14,1,5.0,,7636.06,6640.05,996.01,0.0,01-28-24,06-16-24
124,254,548,4,1,3,2.0,4.0,24339.85,21704.05,3255.61,619.81,06-29-23,09-28-23
125,249,1513,3,5,5,4.0,5.0,44330.15,38547.96,5782.19,0.0,01-13-25,06-18-25
126,134,1367,3,30,5,5.0,5.0,48005.86,41744.23,6261.63,0.0,01-28-24,01-28-24
127,93,827,3,16,2,1.0,2.0,398.73,362.04,54.31,17.62,04-12-25,04-21-25
128,161,761,5,50,1,5.0,1.0,34688.79,32263.13,4839.47,2413.81,08-13-24,12-19-24
129,53,1778,1,4,5,3.0,3.0,4196.95,3649.52,547.43,0.0,06-19-25,06-21-25
130,477,402,4,33,3,5.0,1.0,8364.26,7273.27,1090.99,0.0,01-27-25,04-14-25
131,105,441,3,34,2,2.0,5.0,6601.72,5740.63,861.09,0.0,03-21-25,03-21-25
132,250,1770,2,4,4,3.0,1.0,51749.63,44999.68,6749.95,0.0,09-13-24,12-01-24
133,348,1933,1,17,2,1.0,1.0,29023.86,25238.14,3785.72,0.0,12-16-24,01-25-25
134,269,393,5,7,4,5.0,1.0,24118.63,20972.72,3145.91,0.0,04-11-25,05-14-25
135,244,1891,4,10,4,1.0,3.0,25082.619999999999,25417.8,3812.67,4147.85,07-17-23,06-03-24
136,278,375,2,30,4,2.0,3.0,12764.13,11099.24,1664.89,0.0,03-20-25,04-22-25
137,438,1849,4,45,2,3.0,2.0,47226.79000000000,41066.77,6160.02,0.0,01-07-24,03-12-24
138,42,867,3,23,5,3.0,4.0,299.09,291.43,43.71,36.05,04-03-24,09-12-24
139,237,1546,2,14,2,5.0,5.0,2836.9899999999998,2537.8,380.67,81.48,09-29-24,10-06-24
140,197,245,3,43,2,2.0,4.0,910.75,791.96,118.79,0.0,04-17-24,10-31-24
141,179,1931,5,28,3,2.0,2.0,17587.990000000002,15293.9,2294.09,0.0,11-01-23,06-10-25
142,217,435,5,37,1,3.0,4.0,41018.42,35668.19,5350.23,0.0,02-01-25,05-11-25
143,125,1510,3,36,3,2.0,2.0,22062.080000000002,19184.42,2877.66,0.0,12-29-23,12-29-23
144,84,1697,2,45,3,3.0,2.0,6253.09,5437.47,815.62,0.0,10-31-23,04-21-24
145,140,490,2,18,3,1.0,3.0,23201.86,20652.02,3097.8,547.96,01-16-24,06-23-24
146,209,145,3,48,1,4.0,3.0,18327.83,15937.24,2390.59,0.0,02-09-24,04-27-25
147,428,1032,5,8,3,,4.0,47837.01,44715.55,6707.33,3585.87,02-23-24,03-13-25
148,31,1267,3,13,4,5.0,1.0,8205.93,7135.59,1070.34,0.0,10-14-23,01-05-24
149,284,130,4,32,1,3.0,,37991.39,33035.99,4955.4,0.0,08-22-24,10-14-24
150,323,684,1,33,4,5.0,2.0,24975.66,22331.11,3349.67,705.12,09-05-24,03-20-25
151,481,422,5,3,1,3.0,3.0,17752.22,15436.71,2315.51,0.0,09-26-24,03-27-25
152,415,1739,4,12,4,2.0,5.0,8030.62,6983.15,1047.47,0.0,01-30-24,11-01-24
153,281,678,1,25,4,3.0,3.0,47182.42,41028.19,6154.23,0.0,12-12-23,09-09-24
154,183,1082,2,24,1,2.0,3.0,38019.87,33060.76,4959.11,0.0,02-21-24,05-23-24
155,494,143,1,7,2,5.0,3.0,27907.689999999999,24267.56,3640.13,0.0,10-01-23,12-13-23
156,424,361,5,28,1,1.0,4.0,22116.48,19812.14,2971.82,667.48,12-08-23,05-01-24
157,10,1297,2,8,3,3.0,3.0,616.43,536.03,80.4,0.0,05-10-24,05-10-24
158,386,646,1,14,4,3.0,3.0,49720.86,43235.53,6485.33,0.0,12-20-24,05-28-25
159,325,878,5,49,4,5.0,,21558.590000000000,22455.92,3368.39,4265.72,12-30-24,06-21-25
160,208,1593,2,46,2,2.0,1.0,35335.36,30726.4,4608.96,0.0,11-24-24,02-19-25
161,288,1160,1,29,2,,1.0,4065.9200000000001,3680.13,552.02,166.23,06-03-24,05-31-25
162,358,1039,1,45,1,5.0,2.0,29035.64,28496.24,4274.44,3735.04,09-19-23,10-29-23
163,214,504,2,10,3,3.0,5.0,19790.53,17209.16,2581.37,0.0,08-27-23,08-27-23
164,465,451,1,48,2,5.0,4.0,552.5800000000000,506.33,75.95,29.7,09-07-23,03-26-25
165,53,310,3,40,5,5.0,1.0,9532.98,8289.55,1243.43,0.0,06-17-25,06-18-25
166,50,547,2,49,2,4.0,,54758.57,47629.75,7144.46,15.64,11-02-24,05-17-25
167,82,118,5,9,5,4.0,2.0,26191.59,26832.64,4024.9,4665.95,11-15-23,11-24-24
168,486,1386,1,35,2,5.0,4.0,25138.57,24505.21,3675.78,3042.42,01-07-25,04-10-25
169,477,56,1,7,2,5.0,2.0,17415.85,16838.94,2525.84,1948.93,08-16-23,05-08-24
170,82,1963,3,2,1,3.0,2.0,36745.58,31952.68,4792.9,0.0,04-22-25,05-28-25
171,418,161,1,2,4,1.0,,52245.519999999997,46461.48,6969.22,1185.18,01-24-25,03-14-25
172,154,968,2,23,3,3.0,2.0,47719.82,48685.93,7302.89,8269.0,01-24-25,04-04-25
173,348,204,2,21,3,4.0,2.0,36784.14,31986.21,4797.93,0.0,03-04-24,09-30-24
174,168,1263,1,14,2,5.0,5.0,33672.150000000001,35294.18,5294.13,6916.16,10-06-23,11-06-24
175,194,1573,2,21,5,2.0,1.0,37146.07,32300.93,4845.14,0.0,11-11-23,03-08-25
176,358,1905,5,24,5,2.0,2.0,53974.64,46934.47,7040.17,0.0,10-06-24,05-25-25
177,215,1552,5,16,1,1.0,2.0,18684.13,16247.07,2437.06,0.0,05-16-24,02-07-25
178,459,665,1,15,3,4.0,2.0,45348.81,40608.77,6091.32,1351.28,04-06-25,05-22-25
179,133,773,5,1,5,2.0,2.0,53413.54000000000,49774.95,7466.24,3827.65,02-23-24,01-09-25
180,435,297,1,26,4,4.0,2.0,22085.96,19205.18,2880.78,0.0,02-04-25,04-12-25
181,315,1427,4,22,5,2.0,4.0,17189.25,14947.17,2242.08,0.0,03-09-25,04-08-25
182,145,1726,1,12,4,5.0,4.0,28859.52,29956.46,4493.47,5590.41,09-05-24,05-04-25
183,483,1790,2,33,5,5.0,3.0,10666.43,9275.16,1391.27,0.0,10-19-23,09-27-24
184,420,166,1,43,2,2.0,2.0,31665.060000000001,32996.95,4949.54,6281.43,12-10-23,03-29-25
185,58,355,5,22,3,4.0,4.0,57031.410000000003,49592.53,7438.88,0.0,11-01-23,03-09-24
186,84,658,1,16,5,1.0,4.0,35054.449999999997,36101.97,5415.3,6462.82,01-05-25,02-16-25
187,396,314,2,5,5,1.0,2.0,13345.980000000000,11605.2,1740.78,0.0,06-23-23,03-01-25
188,171,122,5,37,2,1.0,1.0,22142.33,19254.2,2888.13,0.0,01-22-24,06-10-25
189,184,246,2,9,2,3.0,3.0,24577.97,21372.15,3205.82,0.0,04-06-25,05-13-25
190,179,977,2,31,2,1.0,4.0,5644.07,5230.03,784.5,370.46,06-28-24,02-10-25
191,147,1175,4,50,2,5.0,4.0,31360.14,27269.69,4090.45,0.0,09-28-24,09-28-24
192,421,1462,2,44,4,5.0,3.0,47713.72,41490.19,6223.53,0.0,10-23-24,05-06-25
193,8,232,5,28,4,3.0,5.0,40793.01,35472.18,5320.83,0.0,04-02-25,04-02-25
194,402,1273,1,10,4,1.0,1.0,5267.9799999999996,4902.06,735.31,369.39,07-26-24,12-24-24
195,53,1432,1,12,4,2.0,1.0,54076.6,47304.64,7095.7,323.74,09-18-23,11-06-24
196,301,4,4,32,2,2.0,4.0,54490.83,48927.55,7339.13,1775.85,05-24-25,06-11-25
197,456,1395,2,5,3,1.0,5.0,43316.13,37666.2,5649.93,0.0,08-18-24,04-21-25
198,108,1748,5,14,2,1.0,2.0,38319.71,33321.49,4998.22,0.0,05-10-24,01-22-25
199,39,1657,2,19,1,1.0,3.0,49231.550000000003,42837.09,6425.56,31.1,02-22-24,03-16-25
200,74,208,3,13,3,1.0,1.0,49142.32,47901.16,7185.17,5944.01,10-22-24,11-07-24
201,191,1414,2,36,1,4.0,1.0,15232.6,13245.74,1986.86,0.0,01-19-25,06-04-25
202,93,305,2,23,4,2.0,5.0,41274.72,35891.06,5383.66,0.0,11-07-24,03-13-25
203,406,1781,5,13,4,,3.0,41476.47,36066.5,5409.97,0.0,01-08-25,04-05-25
204,489,853,2,14,3,4.0,3.0,8755.95,7613.87,1142.08,0.0,11-22-23,06-29-24
205,234,741,5,44,3,,1.0,41085.31,35726.36,5358.95,0.0,05-25-24,05-25-24
206,395,1696,2,23,2,3.0,5.0,4343.68,3777.11,566.57,0.0,02-22-24,09-01-24
207,230,779,4,42,2,5.0,4.0,46281.15,40244.48,6036.67,0.0,03-31-24,02-26-25
208,390,1840,5,32,3,2.0,5.0,45771.39,39801.21,5970.18,0.0,07-01-24,02-15-25
209,366,852,2,21,2,2.0,4.0,55858.06,49721.35,7458.2,1321.49,11-08-24,05-27-25
210,394,7,3,43,5,3.0,3.0,30259.1,29090.17,4363.53,3194.6,05-25-24,05-25-24
211,352,32,4,50,3,3.0,5.0,33793.42,30703.6,4605.54,1515.72,12-10-24,03-27-25
212,496,1926,5,43,2,5.0,4.0,42104.55,36612.65,5491.9,0.0,03-05-25,05-09-25
213,20,629,3,15,1,4.0,5.0,41673.92,41042.45,6156.37,5524.9,07-01-24,04-05-25
214,466,415,5,20,3,1.0,1.0,19757.6,17180.52,2577.08,0.0,04-20-25,06-13-25
215,72,1657,3,9,4,4.0,2.0,36880.71,33349.71,5002.46,1471.46,08-05-24,12-16-24
216,52,1926,2,17,1,,3.0,31526.33,27414.2,4112.13,0.0,05-23-24,07-31-24
217,240,1837,1,40,4,4.0,3.0,49886.84,43379.86,6506.98,0.0,09-23-23,01-07-25
218,272,1506,5,21,2,5.0,5.0,24672.459999999999,21454.31,3218.15,0.0,01-22-25,05-19-25
219,233,1140,2,36,1,2.0,4.0,27927.24,24284.56,3642.68,0.0,02-14-24,05-03-25
220,463,1801,2,49,2,4.0,3.0,16313.11,14956.99,2243.55,887.43,03-28-24,10-10-24
221,279,1726,2,12,1,5.0,3.0,19369.419999999998,16842.97,2526.45,0.0,03-25-24,03-25-24
222,92,1278,4,1,2,3.0,2.0,32920.510000000002,28626.53,4293.98,0.0,12-05-23,05-01-24
223,485,73,2,37,5,2.0,3.0,10224.42,9300.94,1395.14,471.66,06-26-23,08-18-24
224,440,422,5,40,4,4.0,2.0,18977.72,18538.22,2780.73,2341.23,07-25-24,05-15-25
225,353,159,5,22,4,1.0,4.0,13855.34,12048.12,1807.22,0.0,04-30-24,02-06-25
226,271,1493,5,44,4,4.0,5.0,33598.87,29216.41,4382.46,0.0,12-22-24,04-21-25
227,232,1865,5,13,1,4.0,5.0,28529.88,24808.59,3721.29,0.0,05-09-24,07-07-24
228,276,1726,3,47,5,4.0,2.0,24936.049999999999,23477.54,3521.63,2063.12,12-10-23,04-21-25
229,171,1769,5,41,2,4.0,3.0,35246.87,30649.45,4597.42,0.0,12-19-23,01-16-24
230,333,611,5,36,3,3.0,5.0,47100.8,40957.22,6143.58,0.0,06-03-25,06-19-25
231,54,650,4,25,4,5.0,1.0,13614.92,11839.06,1775.86,0.0,08-20-24,05-19-25
232,53,1005,5,46,3,1.0,2.0,16975.919999999998,17148.15,2572.22,2744.45,09-02-24,04-29-25
233,422,1513,1,8,1,,4.0,4948.22,4858.27,728.74,638.79,02-28-24,05-19-25
234,193,60,2,21,3,5.0,5.0,20504.35,17829.87,2674.48,0.0,08-05-23,11-04-24
235,68,1986,5,34,1,4.0,4.0,56731.28,49331.55,7399.73,0.0,02-06-24,08-20-24
236,379,1114,1,35,1,3.0,4.0,11969.48,10408.24,1561.24,0.0,10-06-23,02-08-24
237,136,243,3,29,5,5.0,3.0,35758.04,31093.95,4664.09,0.0,02-27-25,05-13-25
238,208,118,3,10,5,4.0,3.0,34858.08,36072.51,5410.88,6625.31,01-26-24,02-05-24
239,265,929,5,33,4,3.0,5.0,8564.87,7447.71,1117.16,0.0,05-27-25,06-05-25
240,336,767,1,9,4,3.0,4.0,12465.030000000001,10839.16,1625.87,0.0,08-02-24,03-10-25
241,29,978,1,23,1,5.0,5.0,49531.67,43071.02,6460.65,0.0,04-14-24,04-14-24
242,130,1416,2,41,4,3.0,2.0,21319.91,18630.75,2794.61,105.45,06-04-24,04-10-25
243,496,1045,4,2,4,5.0,1.0,46536.67,40466.67,6070.0,0.0,01-31-24,02-01-25
244,42,1487,4,3,4,2.0,2.0,31051.299999999999,27001.13,4050.17,0.0,04-09-24,03-02-25
245,46,1525,2,48,3,1.0,4.0,6003.4399999999996,5397.33,809.6,203.49,07-13-24,09-30-24
246,434,1178,5,8,4,5.0,5.0,55732.6,48463.13,7269.47,0.0,07-06-23,01-28-25
247,198,385,5,16,1,3.0,4.0,28993.22,26564.54,3984.68,1556.0,10-12-24,02-10-25
248,123,1229,5,15,4,5.0,3.0,48609.3,42268.96,6340.34,0.0,11-20-24,02-25-25
249,283,1342,3,13,3,1.0,4.0,37977.68,33024.07,4953.61,0.0,05-19-25,06-01-25
250,436,927,5,22,2,,3.0,53963.75,46925.0,7038.75,0.0,02-12-25,03-28-25
251,13,301,2,23,2,,1.0,44485.71000000000,38683.23,5802.48,0.0,08-02-23,05-16-25
252,80,106,3,48,5,2.0,4.0,41042.18,35688.85,5353.33,0.0,01-04-25,03-15-25
253,121,141,2,16,5,4.0,5.0,23912.84,20793.77,3119.07,0.0,09-29-23,10-25-24
254,174,967,1,43,2,2.0,2.0,29157.23,25354.11,3803.12,0.0,01-02-25,01-03-25
255,245,1020,4,9,3,5.0,5.0,9272.68,8063.2,1209.48,0.0,12-05-23,12-28-24
256,183,425,3,31,4,4.0,1.0,27336.509999999998,23770.88,3565.63,0.0,11-18-24,06-19-25
257,497,198,2,5,4,2.0,1.0,32062.82,27880.71,4182.11,0.0,11-05-24,04-13-25
258,490,848,5,48,2,1.0,1.0,9760.15,8487.09,1273.06,0.0,10-27-24,03-04-25
259,12,760,4,4,3,4.0,1.0,51245.230000000003,44561.07,6684.16,0.0,02-15-25,03-18-25
260,148,868,4,21,3,5.0,1.0,49939.379999999997,43425.55,6513.83,0.0,12-19-23,08-10-24
261,436,1392,3,48,3,3.0,1.0,44029.31,38286.36,5742.95,0.0,09-13-23,09-13-24
262,448,1019,2,35,1,4.0,4.0,44760.74,38922.38,5838.36,0.0,04-16-24,03-08-25
263,75,967,1,7,2,5.0,5.0,19476.560000000001,16936.14,2540.42,0.0,12-17-24,12-17-24
264,346,429,3,5,4,1.0,1.0,51041.15,44383.61,6657.54,0.0,09-16-24,06-20-25
265,82,695,3,17,1,2.0,3.0,23397.57,20345.71,3051.86,0.0,07-30-23,10-15-24
